0,1,2,3,4
1,Andaman and Nicobar Islands,12,11,0
2,Andhra Pradesh,603,42,15
3,Arunachal Pradesh,1,0,0
4,Assam,35,9,1
5,Bihar,85,37,2
6,Chandigarh,21,9,0
7,Chhattisgarh,36,24,0
8,Delhi,1707,72,42
9,Goa,7,6,0
10,Gujarat,1272,88,48
11,Haryana,225,43,3
12,Himachal Pradesh,38,16,1
13,Jammu and Kashmir,328,42,5
14,Jharkhand,33,0,2
15,Karnataka,371,92,13
16,Kerala,396,255,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1355,69,69
19,Maharashtra,3323,331,201
20,Manipur,2,1,0
21,Meghalaya,11,0,1
22,Mizoram,1,0,0
23,Nagaland#,0,0,0
24,Odisha,60,21,1
25,Puducherry,7,3,0
26,Punjab,202,27,13
27,Rajasthan,1229,183,11
28,Tamil Nadu,1323,283,15
29,Telengana,791,186,18
30,Tripura,2,1,0
31,Uttarakhand,42,9,0
,Total,13536.0,1874.0,464.0
